Provinsi,NamaKab/Kota,Jamban Bersama/Umum,Jamban Sendiri,Tidak ada
RIAU,KUANTAN SINGINGI,1624,9913,8133
RIAU,PELALAWAN,2382,14133,3632
RIAU,ROKAN HILIR,4795,43758,1942
RIAU,ROKAN HULU,3135,18429,7952
RIAU,S I A K,1565,19101,1384
SULAWESI BARAT,MAJENE,3647,5350,9107
SULAWESI BARAT,MAMASA,4810,6170,9738
SULAWESI BARAT,MAMUJU,1679,3728,13171
SULAWESI BARAT,MAMUJU TENGAH,690,2216,3989
SULAWESI BARAT,MAMUJU UTARA,1087,2771,6110
SULAWESI BARAT,POLEWALI MANDAR,6316,13733,22886
SULAWESI SELATAN,BANTAENG,3245,5723,7870
SULAWESI SELATAN,BARRU,1840,9770,4915
SULAWESI SELATAN,BONE,6769,41585,31801
SULAWESI SELATAN,BULUKUMBA,3158,22541,9834
SULAWESI SELATAN,ENREKANG,2699,11522,5598
SULAWESI SELATAN,GOWA,10337,47632,12056
SULAWESI SELATAN,JENEPONTO,7055,16591,27963
SULAWESI SELATAN,KEPULAUAN SELAYAR,855,4181,8539
SULAWESI SELATAN,KOTA MAKASSAR,17347,30330,2838
SULAWESI SELATAN,KOTA PALOPO,1189,3801,2285
SULAWESI SELATAN,KOTA PAREPARE,2413,3714,1008
SULAWESI SELATAN,LUWU,2301,10468,20927
SULAWESI SELATAN,LUWU TIMUR,2777,10025,5711
SULAWESI SELATAN,LUWU UTARA,3749,16196,12018
SULAWESI SELATAN,MAROS,4726,12934,12828
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,5224,9629,17234
SULAWESI SELATAN,PINRANG,1084,14383,7540
SULAWESI SELATAN,SIDENRENG RAPPANG,4707,10909,5814
SULAWESI SELATAN,SINJAI,1746,12115,7010
SULAWESI SELATAN,SOPPENG,2735,15318,3599
SULAWESI SELATAN,TAKALAR,6830,15932,11376
SULAWESI SELATAN,TANA TORAJA,2234,17290,4733
SULAWESI SELATAN,TORAJA UTARA,3923,16156,3586
SULAWESI SELATAN,WAJO,3087,19065,7732
SULAWESI TENGAH,BANGGAI,4672,13476,16984
SULAWESI TENGAH,BANGGAI KEPULAUAN,2242,3940,6009
SULAWESI TENGAH,BANGGAI LAUT,1015,1122,2132
SULAWESI TENGAH,BUOL,1602,4231,7568
SULAWESI TENGAH,DONGGALA,3107,6341,22848
SULAWESI TENGAH,KOTA PALU,4168,7078,1957
SULAWESI TENGAH,MOROWALI,729,5213,4070
SULAWESI TENGAH,MOROWALI UTARA,800,5003,4088
SULAWESI TENGAH,PARIGI MOUTONG,4464,8645,30878
SULAWESI TENGAH,POSO,3784,15265,5188
SULAWESI TENGAH,SIGI,3159,4605,14319
SULAWESI TENGAH,TOJO UNA-UNA,1795,3140,9418
SULAWESI TENGAH,TOLI-TOLI,2227,3948,13074
SULAWESI TENGGARA,BOMBANA,1462,5778,9323
SULAWESI TENGGARA,BUTON,1866,3758,4842
SULAWESI TENGGARA,BUTON SELATAN,1797,4194,3586
SULAWESI TENGGARA,BUTON TENGAH,1455,6171,5338
SULAWESI TENGGARA,BUTON UTARA,1117,2499,3250
SULAWESI TENGGARA,KOLAKA,1044,6034,6019
SULAWESI TENGGARA,KOLAKA TIMUR,976,4339,4518
SULAWESI TENGGARA,KOLAKA UTARA,1015,8394,7237
SULAWESI TENGGARA,KONAWE,3433,10495,6939
SULAWESI TENGGARA,KONAWE KEPULAUAN,420,1895,3085
SULAWESI TENGGARA,KONAWE SELATAN,1947,11990,9341
SULAWESI TENGGARA,KONAWE UTARA,479,2137,2738
SULAWESI TENGGARA,KOTA BAUBAU,5331,6244,1019
SULAWESI TENGGARA,KOTA KENDARI,3628,11287,2574
SULAWESI TENGGARA,MUNA,5861,7999,11587
SULAWESI TENGGARA,MUNA BARAT,1513,3694,6398
SULAWESI TENGGARA,WAKATOBI,511,4274,2228
SULAWESI UTARA,BOLAANG MONGONDOW,3256,8943,13593
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,803,773,3558
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,725,1351,2956
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,2194,1490,3410
SULAWESI UTARA,KEPULAUAN SANGIHE,1715,4007,3937
SULAWESI UTARA,KEPULAUAN TALAUD,1701,4224,1283
SULAWESI UTARA,KOTA BITUNG,2867,9146,1072
SULAWESI UTARA,KOTA MANADO,6355,11330,1626
SULAWESI UTARA,KOTA TOMOHON,2926,4701,47
SULAWESI UTARA,KOTAMOBAGU,955,3426,3326
SULAWESI UTARA,MINAHASA,7482,11397,1656
SULAWESI UTARA,MINAHASA SELATAN,6835,14907,3300
SULAWESI UTARA,MINAHASA TENGGARA,2293,5226,1983
SULAWESI UTARA,MINAHASA UTARA,2261,9929,4216
SULAWESI UTARA,SIAU TAGULANDANG BIARO,579,1659,608
SUMATERA BARAT,AGAM,4940,8896,7612
SUMATERA BARAT,DHARMASRAYA,881,3766,2398
SUMATERA BARAT,KEPULAUAN MENTAWAI,689,2594,4764
SUMATERA BARAT,KOTA BUKITTINGGI,827,2979,75
SUMATERA BARAT,KOTA PADANG,7905,25768,9432
SUMATERA BARAT,KOTA PADANG PANJANG,746,1219,128
SUMATERA BARAT,KOTA PARIAMAN,782,3026,706
SUMATERA BARAT,KOTA PAYAKUMBUH,1685,4094,653
SUMATERA BARAT,KOTA SAWAH LUNTO,249,975,360
SUMATERA BARAT,KOTA SOLOK,437,1342,675
SUMATERA BARAT,LIMA PULUH KOTA,9802,8143,14203
SUMATERA BARAT,PADANG PARIAMAN,3980,9722,14791
SUMATERA BARAT,PASAMAN,7263,1856,16368
SUMATERA BARAT,PASAMAN BARAT,4473,10770,24788
SUMATERA BARAT,PESISIR SELATAN,2296,12534,23171
SUMATERA BARAT,SIJUNJUNG,780,3125,8109
SUMATERA BARAT,SOLOK,7497,5805,16744
SUMATERA BARAT,SOLOK SELATAN,225,1772,7336
SUMATERA BARAT,TANAH DATAR,6260,5695,8026
SUMATERA SELATAN,BANYU ASIN,17008,55508,10035
SUMATERA SELATAN,EMPAT LAWANG,791,4879,16700
SUMATERA SELATAN,KOTA LUBUKLINGGAU,2090,7572,2202
SUMATERA SELATAN,KOTA PAGAR ALAM,3788,3078,2544
SUMATERA SELATAN,KOTA PALEMBANG,20780,63132,6428
SUMATERA SELATAN,KOTA PRABUMULIH,2054,6205,2591
SUMATERA SELATAN,LAHAT,10576,10889,16207
SUMATERA SELATAN,MUARA ENIM,10576,25090,20036
SUMATERA SELATAN,MUSI BANYUASIN,17004,31918,5822
SUMATERA SELATAN,MUSI RAWAS,6770,25395,10757
SUMATERA SELATAN,MUSI RAWAS UTARA,3812,5450,9028
SUMATERA SELATAN,OGAN ILIR,17699,17269,11197
SUMATERA SELATAN,OGAN KOMERING ILIR,27202,34269,10853
SUMATERA SELATAN,OGAN KOMERING ULU,2561,10490,11873
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,3535,15724,22492
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,6763,22389,5074
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1723,8559,7486
SUMATERA UTARA,ASAHAN,2473,27196,3962
SUMATERA UTARA,BATU BARA,4164,34141,4787
SUMATERA UTARA,DAIRI,1045,11156,5120
SUMATERA UTARA,DELI SERDANG,14359,87227,8587
