Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,381,85,6879
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1105,667,6642
KEPULAUAN RIAU,BINTAN,755,562,4532
KEPULAUAN RIAU,KARIMUN,862,579,12190
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,38,7,656
KEPULAUAN RIAU,KOTA BATAM,1784,4995,32759
KEPULAUAN RIAU,KOTA TANJUNG PINANG,1563,2526,5849
KEPULAUAN RIAU,LINGGA,195,45,6914
KEPULAUAN RIAU,NATUNA,112,43,2380
LAMPUNG,KOTA BANDAR LAMPUNG,17607,12484,49563
LAMPUNG,KOTA METRO,1163,578,6755
LAMPUNG,LAMPUNG BARAT,3361,771,29147
LAMPUNG,LAMPUNG SELATAN,10796,1860,118582
LAMPUNG,LAMPUNG TENGAH,9727,1120,111489
LAMPUNG,LAMPUNG TIMUR,8348,799,99346
LAMPUNG,LAMPUNG UTARA,6791,1476,64648
LAMPUNG,MESUJI,1602,77,20324
LAMPUNG,PESAWARAN,5146,817,55795
LAMPUNG,PESISIR BARAT,931,215,18412
LAMPUNG,PRINGSEWU,3438,512,32422
LAMPUNG,TANGGAMUS,4674,870,60062
LAMPUNG,TULANG BAWANG BARAT,1954,94,20655
LAMPUNG,TULANGBAWANG,3295,510,37930
LAMPUNG,WAY KANAN,3640,373,42952
MALUKU,BURU,252,29,8194
MALUKU,BURU SELATAN,123,8,5545
MALUKU,KEPULAUAN ARU,366,17,6284
MALUKU,KOTA AMBON,4220,870,13894
MALUKU,KOTA TUAL,271,23,4050
MALUKU,MALUKU BARAT DAYA,666,13,9293
MALUKU,MALUKU TENGAH,5868,367,29916
MALUKU,MALUKU TENGGARA,425,22,6505
MALUKU,MALUKU TENGGARA BARAT,763,28,10792
MALUKU,SERAM BAGIAN BARAT,1700,59,17836
MALUKU,SERAM BAGIAN TIMUR,252,10,8697
MALUKU UTARA,HALMAHERA BARAT,371,7,6743
MALUKU UTARA,HALMAHERA SELATAN,385,12,9082
MALUKU UTARA,HALMAHERA TENGAH,405,13,3623
MALUKU UTARA,HALMAHERA TIMUR,249,20,5981
MALUKU UTARA,HALMAHERA UTARA,376,24,6054
MALUKU UTARA,KEPULAUAN SULA,520,29,3714
MALUKU UTARA,KOTA TERNATE,346,67,3091
MALUKU UTARA,KOTA TIDORE KEPULAUAN,369,14,5607
MALUKU UTARA,PULAU MOROTAI,172,13,3227
MALUKU UTARA,PULAU TALIABU,213,2,2266
NUSA TENGGARA BARAT,BIMA,8120,79,53464
NUSA TENGGARA BARAT,DOMPU,3143,161,27346
NUSA TENGGARA BARAT,KOTA BIMA,2713,218,12591
NUSA TENGGARA BARAT,KOTA MATARAM,8246,1236,24883
NUSA TENGGARA BARAT,LOMBOK BARAT,7669,340,93895
NUSA TENGGARA BARAT,LOMBOK TENGAH,8886,387,153336
NUSA TENGGARA BARAT,LOMBOK TIMUR,27458,588,188030
NUSA TENGGARA BARAT,LOMBOK UTARA,1987,77,34249
NUSA TENGGARA BARAT,SUMBAWA,3329,280,38884
NUSA TENGGARA BARAT,SUMBAWA BARAT,1072,194,13306
NUSA TENGGARA TIMUR,ALOR,429,31,25567
NUSA TENGGARA TIMUR,BELU,1554,267,18491
NUSA TENGGARA TIMUR,ENDE,875,51,26192
NUSA TENGGARA TIMUR,FLORES TIMUR,861,74,21013
NUSA TENGGARA TIMUR,KOTA KUPANG,3640,2260,13207
NUSA TENGGARA TIMUR,KUPANG,1163,53,34451
NUSA TENGGARA TIMUR,LEMBATA,658,53,16279
NUSA TENGGARA TIMUR,MALAKA,474,27,21612
NUSA TENGGARA TIMUR,MANGGARAI,2069,128,33712
NUSA TENGGARA TIMUR,MANGGARAI BARAT,3166,43,30174
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,667,39,38835
NUSA TENGGARA TIMUR,NAGEKEO,255,12,10909
NUSA TENGGARA TIMUR,NGADA,238,37,10678
NUSA TENGGARA TIMUR,ROTE NDAO,597,36,17827
NUSA TENGGARA TIMUR,SABU RAIJUA,222,5,14399
NUSA TENGGARA TIMUR,SIKKA,1061,133,32943
NUSA TENGGARA TIMUR,SUMBA BARAT,605,70,15229
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,184,23,45799
NUSA TENGGARA TIMUR,SUMBA TENGAH,163,13,9212
NUSA TENGGARA TIMUR,SUMBA TIMUR,1168,30,24325
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,846,120,74056
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,826,50,30324
PAPUA,ASMAT,3003,287,8513
PAPUA,BIAK NUMFOR,2142,513,10674
PAPUA,BOVEN DIGOEL,37,4,5158
PAPUA,DEIYAI,0,0,2991
PAPUA,DOGIYAI,1,2,4580
PAPUA,INTAN JAYA,0,1,205
PAPUA,JAYAPURA,491,31,8602
PAPUA,JAYAWIJAYA,722,4,12420
PAPUA,KEEROM,918,55,5201
PAPUA,KEPULAUAN YAPEN,832,207,6621
PAPUA,KOTA JAYAPURA,2908,2540,9816
PAPUA,LANNY JAYA,2,0,5627
PAPUA,MAMBERAMO RAYA,0,0,680
PAPUA,MAMBERAMO TENGAH,0,0,687
PAPUA,MAPPI,756,12,9647
PAPUA,MERAUKE,1657,418,10802
PAPUA,MIMIKA,1318,1001,10854
PAPUA,NABIRE,619,167,8389
PAPUA,NDUGA,0,0,0
PAPUA,PANIAI,0,0,6883
PAPUA,PEGUNUNGAN BINTANG,0,0,12849
PAPUA,PUNCAK,29,2,11295
PAPUA,PUNCAK JAYA,205,128,6470
PAPUA,SARMI,148,7,1879
PAPUA,SUPIORI,29,1,1988
PAPUA,TOLIKARA,22,65,4197
PAPUA,WAROPEN,180,27,1384
PAPUA,YAHUKIMO,4,0,9972
PAPUA,YALIMO,13,0,4869
PAPUA BARAT,FAKFAK,784,255,6941
PAPUA BARAT,KAIMANA,539,80,3876
PAPUA BARAT,KOTA SORONG,2669,2218,6920
PAPUA BARAT,MANOKWARI,1139,263,9040
PAPUA BARAT,MANOKWARI SELATAN,221,11,3433
PAPUA BARAT,MAYBRAT,418,11,3800
PAPUA BARAT,PEGUNUNGAN ARFAK,315,1,6424
PAPUA BARAT,RAJA AMPAT,170,26,4000
PAPUA BARAT,SORONG,843,111,6984
PAPUA BARAT,SORONG SELATAN,708,10,2611
PAPUA BARAT,TAMBRAUW,56,0,2273
PAPUA BARAT,TELUK BINTUNI,458,116,4301
PAPUA BARAT,TELUK WONDAMA,178,24,2319
RIAU,BENGKALIS,2142,1696,24843
RIAU,INDRAGIRI HILIR,2667,1593,35526
RIAU,INDRAGIRI HULU,3514,1063,28925
RIAU,KAMPAR,7573,4281,44464
RIAU,KEPULAUAN MERANTI,1063,459,21894
RIAU,KOTA DUMAI,1839,3669,10225
RIAU,KOTA PEKANBARU,4778,11690,10326
RIAU,KUANTAN SINGINGI,2102,519,16836
RIAU,PELALAWAN,2107,2239,15008
RIAU,ROKAN HILIR,6733,3877,38927
RIAU,ROKAN HULU,5044,1851,22160
RIAU,S I A K,2572,1927,16791
SULAWESI BARAT,MAJENE,745,53,17211
SULAWESI BARAT,MAMASA,1568,43,18802
SULAWESI BARAT,MAMUJU,1181,42,17244
SULAWESI BARAT,MAMUJU TENGAH,473,18,6372
SULAWESI BARAT,MAMUJU UTARA,800,25,9034
SULAWESI BARAT,POLEWALI MANDAR,2091,110,40563
SULAWESI SELATAN,BANTAENG,1118,76,15439
SULAWESI SELATAN,BARRU,1225,85,15003
SULAWESI SELATAN,BONE,4333,517,74720
SULAWESI SELATAN,BULUKUMBA,2674,134,32479
SULAWESI SELATAN,ENREKANG,2107,56,17454
SULAWESI SELATAN,GOWA,4136,660,64876
SULAWESI SELATAN,JENEPONTO,5288,105,45818
SULAWESI SELATAN,KEPULAUAN SELAYAR,704,27,12727
SULAWESI SELATAN,KOTA MAKASSAR,11577,10410,27527
SULAWESI SELATAN,KOTA PALOPO,1057,714,5430
SULAWESI SELATAN,KOTA PAREPARE,1537,779,4710
SULAWESI SELATAN,LUWU,3090,136,30067
SULAWESI SELATAN,LUWU TIMUR,1414,125,16825
SULAWESI SELATAN,LUWU UTARA,3028,143,28674
SULAWESI SELATAN,MAROS,1823,183,28313
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,3142,181,28438
SULAWESI SELATAN,PINRANG,2275,182,20460
SULAWESI SELATAN,SIDENRENG RAPPANG,2712,190,18359
SULAWESI SELATAN,SINJAI,785,55,19884
SULAWESI SELATAN,SOPPENG,1497,160,19881
SULAWESI SELATAN,TAKALAR,1824,126,32096
SULAWESI SELATAN,TANA TORAJA,3009,111,20581
SULAWESI SELATAN,TORAJA UTARA,3039,156,15904
SULAWESI SELATAN,WAJO,2809,141,26716
SULAWESI TENGAH,BANGGAI,3325,325,30901
SULAWESI TENGAH,BANGGAI KEPULAUAN,537,23,11575
SULAWESI TENGAH,BANGGAI LAUT,382,16,3859
SULAWESI TENGAH,BUOL,1000,89,12197
SULAWESI TENGAH,DONGGALA,2524,165,29272
SULAWESI TENGAH,KOTA PALU,2227,1399,9453
SULAWESI TENGAH,MOROWALI,450,18,9447
SULAWESI TENGAH,MOROWALI UTARA,663,37,9019
SULAWESI TENGAH,PARIGI MOUTONG,3223,229,40053
SULAWESI TENGAH,POSO,2646,164,21170
SULAWESI TENGAH,SIGI,1872,85,19814
SULAWESI TENGAH,TOJO UNA-UNA,1015,30,13224
SULAWESI TENGAH,TOLI-TOLI,1487,150,17467
SULAWESI TENGGARA,BOMBANA,862,25,15620
SULAWESI TENGGARA,BUTON,859,34,9509
SULAWESI TENGGARA,BUTON SELATAN,907,49,8572
SULAWESI TENGGARA,BUTON TENGAH,1571,35,11254
SULAWESI TENGGARA,BUTON UTARA,223,4,6606
SULAWESI TENGGARA,KOLAKA,924,151,11940
SULAWESI TENGGARA,KOLAKA TIMUR,479,17,9314
SULAWESI TENGGARA,KOLAKA UTARA,1573,170,14871
SULAWESI TENGGARA,KONAWE,1360,47,19402
SULAWESI TENGGARA,KONAWE KEPULAUAN,200,4,5177
SULAWESI TENGGARA,KONAWE SELATAN,699,31,22498
SULAWESI TENGGARA,KONAWE UTARA,195,2,5147
SULAWESI TENGGARA,KOTA BAUBAU,3088,555,8796
SULAWESI TENGGARA,KOTA KENDARI,2531,1302,13543
SULAWESI TENGGARA,MUNA,1744,109,23439
SULAWESI TENGGARA,MUNA BARAT,553,18,10988
SULAWESI TENGGARA,WAKATOBI,392,4,6558
SULAWESI UTARA,BOLAANG MONGONDOW,3207,164,22261
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,487,16,4593
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,489,44,4432
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,559,17,6503
SULAWESI UTARA,KEPULAUAN SANGIHE,782,22,8798
SULAWESI UTARA,KEPULAUAN TALAUD,442,5,6755
SULAWESI UTARA,KOTA BITUNG,2184,521,10052
SULAWESI UTARA,KOTA MANADO,5099,1479,11499
SULAWESI UTARA,KOTA TOMOHON,2810,119,4732
SULAWESI UTARA,KOTAMOBAGU,1030,194,6403
SULAWESI UTARA,MINAHASA,7479,493,11963
SULAWESI UTARA,MINAHASA SELATAN,5764,313,18478
SULAWESI UTARA,MINAHASA TENGGARA,1383,181,7876
SULAWESI UTARA,MINAHASA UTARA,3807,429,11806
SULAWESI UTARA,SIAU TAGULANDANG BIARO,284,1,2548
SUMATERA BARAT,AGAM,5442,665,14104
SUMATERA BARAT,DHARMASRAYA,642,102,6221
SUMATERA BARAT,KEPULAUAN MENTAWAI,187,33,7752
SUMATERA BARAT,KOTA BUKITTINGGI,955,1749,1152
SUMATERA BARAT,KOTA PADANG,10097,6865,25361
SUMATERA BARAT,KOTA PADANG PANJANG,556,373,1145
SUMATERA BARAT,KOTA PARIAMAN,1296,184,3026
SUMATERA BARAT,KOTA PAYAKUMBUH,1091,888,4417
SUMATERA BARAT,KOTA SAWAH LUNTO,332,57,1173
SUMATERA BARAT,KOTA SOLOK,390,440,1606
SUMATERA BARAT,LIMA PULUH KOTA,4682,474,25923
SUMATERA BARAT,PADANG PARIAMAN,4919,493,22421
SUMATERA BARAT,PASAMAN,5387,1669,17952
SUMATERA BARAT,PASAMAN BARAT,4883,1517,33195
SUMATERA BARAT,PESISIR SELATAN,6350,579,30268
SUMATERA BARAT,SIJUNJUNG,1074,96,10599
SUMATERA BARAT,SOLOK,5206,705,22971
SUMATERA BARAT,SOLOK SELATAN,1458,116,7542
SUMATERA BARAT,TANAH DATAR,5309,431,13314
SUMATERA SELATAN,BANYU ASIN,5938,1934,73883
SUMATERA SELATAN,EMPAT LAWANG,3577,706,17671
SUMATERA SELATAN,KOTA LUBUKLINGGAU,2171,1907,7669
SUMATERA SELATAN,KOTA PAGAR ALAM,1489,934,6813
SUMATERA SELATAN,KOTA PALEMBANG,23628,18522,47052
SUMATERA SELATAN,KOTA PRABUMULIH,1793,1368,7648
SUMATERA SELATAN,LAHAT,6845,1300,29226
SUMATERA SELATAN,MUARA ENIM,7183,1687,44984
SUMATERA SELATAN,MUSI BANYUASIN,6687,1939,45283
SUMATERA SELATAN,MUSI RAWAS,4639,664,37268
SUMATERA SELATAN,MUSI RAWAS UTARA,3112,605,14410
SUMATERA SELATAN,OGAN ILIR,5328,830,39431
SUMATERA SELATAN,OGAN KOMERING ILIR,13738,1085,56904
SUMATERA SELATAN,OGAN KOMERING ULU,5574,1625,17430
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,5059,1539,34787
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,4050,406,29459
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1676,318,15683
SUMATERA UTARA,ASAHAN,5741,2373,24967
SUMATERA UTARA,BATU BARA,7364,2338,33155
SUMATERA UTARA,DAIRI,2591,2221,12293
SUMATERA UTARA,DELI SERDANG,27209,10489,70349
SUMATERA UTARA,HUMBANG HASUNDUTAN,3004,272,9714
SUMATERA UTARA,KARO,4566,9685,7919
SUMATERA UTARA,KOTA BINJAI,3764,2023,9965
SUMATERA UTARA,KOTA GUNUNGSITOLI,2284,355,11072
SUMATERA UTARA,KOTA MEDAN,27266,29251,52119
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1986,3527,4946
SUMATERA UTARA,KOTA PEMATANG SIANTAR,4511,5599,7499
SUMATERA UTARA,KOTA SIBOLGA,1346,2274,1782
SUMATERA UTARA,KOTA TANJUNG BALAI,2678,3170,8377
SUMATERA UTARA,KOTA TEBING TINGGI,2576,2467,5407
