Provinsi,NamaKab/Kota,KodeKab/Kota,Bekerja,Tidak Bekerja
SULAWESI SELATAN,LUWU,7317,47906,86831
SULAWESI SELATAN,LUWU TIMUR,7325,26464,43129
SULAWESI SELATAN,LUWU UTARA,7322,53633,67230
SULAWESI SELATAN,MAROS,7308,38971,79067
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,7309,38403,86391
SULAWESI SELATAN,PINRANG,7315,27650,55411
SULAWESI SELATAN,SIDENRENG RAPPANG,7314,23658,53426
SULAWESI SELATAN,SINJAI,7307,32546,44370
SULAWESI SELATAN,SOPPENG,7312,26199,45746
SULAWESI SELATAN,TAKALAR,7305,41303,88590
SULAWESI SELATAN,TANA TORAJA,7318,57488,42396
SULAWESI SELATAN,TORAJA UTARA,7326,49547,52031
SULAWESI SELATAN,WAJO,7313,36126,68764
SULAWESI TENGAH,BANGGAI,7202,48486,70571
SULAWESI TENGAH,BANGGAI KEPULAUAN,7201,19707,23253
SULAWESI TENGAH,BANGGAI LAUT,7211,5363,9794
SULAWESI TENGAH,BUOL,7207,17685,37803
SULAWESI TENGAH,DONGGALA,7205,48610,79092
SULAWESI TENGAH,KOTA PALU,7271,19860,32262
SULAWESI TENGAH,MOROWALI,7203,11603,23833
SULAWESI TENGAH,MOROWALI UTARA,7212,16211,19554
SULAWESI TENGAH,PARIGI MOUTONG,7208,68065,103332
SULAWESI TENGAH,POSO,7204,43355,46144
SULAWESI TENGAH,SIGI,7210,39430,44432
SULAWESI TENGAH,TOJO UNA-UNA,7209,23640,34466
SULAWESI TENGAH,TOLI-TOLI,7206,24971,48969
SULAWESI TENGGARA,BOMBANA,7406,25985,35224
SULAWESI TENGGARA,BUTON,7401,16720,27177
SULAWESI TENGGARA,BUTON SELATAN,7415,14325,28288
SULAWESI TENGGARA,BUTON TENGAH,7414,16236,32416
SULAWESI TENGGARA,BUTON UTARA,7409,11192,14810
SULAWESI TENGGARA,KOLAKA,7404,20450,31586
SULAWESI TENGGARA,KOLAKA TIMUR,7411,18566,17135
SULAWESI TENGGARA,KOLAKA UTARA,7408,33780,30236
SULAWESI TENGGARA,KONAWE,7403,33255,48537
SULAWESI TENGGARA,KONAWE KEPULAUAN,7412,9592,11068
SULAWESI TENGGARA,KONAWE SELATAN,7405,36825,51847
SULAWESI TENGGARA,KONAWE UTARA,7410,9686,13855
SULAWESI TENGGARA,KOTA BAUBAU,7472,17108,33084
SULAWESI TENGGARA,KOTA KENDARI,7471,23730,49717
SULAWESI TENGGARA,MUNA,7402,40817,54850
SULAWESI TENGGARA,MUNA BARAT,7413,21135,22081
SULAWESI TENGGARA,WAKATOBI,7407,12946,18090
SULAWESI UTARA,BOLAANG MONGONDOW,7101,34620,61177
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,7110,6462,14801
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,7111,7036,11892
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,7107,8534,17531
SULAWESI UTARA,KEPULAUAN SANGIHE,7103,15382,23118
SULAWESI UTARA,KEPULAUAN TALAUD,7104,14915,16047
SULAWESI UTARA,KOTA BITUNG,7172,15359,33112
SULAWESI UTARA,KOTA MANADO,7171,21813,48948
SULAWESI UTARA,KOTA TOMOHON,7173,10116,17485
SULAWESI UTARA,KOTAMOBAGU,7174,11252,19505
SULAWESI UTARA,MINAHASA,7102,26798,54508
SULAWESI UTARA,MINAHASA SELATAN,7105,32112,58755
SULAWESI UTARA,MINAHASA TENGGARA,7109,12602,20998
SULAWESI UTARA,MINAHASA UTARA,7106,21586,41721
SULAWESI UTARA,SIAU TAGULANDANG BIARO,7108,3559,6383
SUMATERA BARAT,AGAM,1307,32599,52616
SUMATERA BARAT,DHARMASRAYA,1311,10652,15890
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,17133,18825
SUMATERA BARAT,KOTA BUKITTINGGI,1375,5941,9378
SUMATERA BARAT,KOTA PADANG,1371,56521,125683
SUMATERA BARAT,KOTA PADANG PANJANG,1374,3260,4357
SUMATERA BARAT,KOTA PARIAMAN,1377,6920,12619
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,11027,15432
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,2595,3313
SUMATERA BARAT,KOTA SOLOK,1372,3743,6479
SUMATERA BARAT,LIMA PULUH KOTA,1308,49116,63035
SUMATERA BARAT,PADANG PARIAMAN,1306,34123,82359
SUMATERA BARAT,PASAMAN,1309,43972,57875
SUMATERA BARAT,PASAMAN BARAT,1312,59045,89284
SUMATERA BARAT,PESISIR SELATAN,1302,50471,113797
SUMATERA BARAT,SIJUNJUNG,1304,16427,29214
SUMATERA BARAT,SOLOK,1303,53422,70255
SUMATERA BARAT,SOLOK SELATAN,1310,15592,25237
SUMATERA BARAT,TANAH DATAR,1305,30990,46690
SUMATERA SELATAN,BANYU ASIN,1607,129623,171673
SUMATERA SELATAN,EMPAT LAWANG,1611,39627,38995
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,16652,28538
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,18239,15431
SUMATERA SELATAN,KOTA PALEMBANG,1671,115645,240414
SUMATERA SELATAN,KOTA PRABUMULIH,1672,17553,20868
SUMATERA SELATAN,LAHAT,1604,65564,67858
SUMATERA SELATAN,MUARA ENIM,1603,96577,102666
SUMATERA SELATAN,MUSI BANYUASIN,1606,89103,95974
SUMATERA SELATAN,MUSI RAWAS,1605,70471,69503
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,29465,30839
SUMATERA SELATAN,OGAN ILIR,1610,81548,81999
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,117804,132801
SUMATERA SELATAN,OGAN KOMERING ULU,1601,39040,47379
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,83287,62013
