Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
SULAWESI SELATAN,KEPULAUAN SELAYAR,7301,11551,2636
SULAWESI SELATAN,KOTA MAKASSAR,7371,56926,15316
SULAWESI SELATAN,KOTA PALOPO,7373,10431,2301
SULAWESI SELATAN,KOTA PAREPARE,7372,7928,1811
SULAWESI SELATAN,LUWU,7317,40825,9081
SULAWESI SELATAN,LUWU TIMUR,7325,19625,4250
SULAWESI SELATAN,LUWU UTARA,7322,33496,7900
SULAWESI SELATAN,MAROS,7308,28613,8524
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,7309,30231,9940
SULAWESI SELATAN,PINRANG,7315,21062,5985
SULAWESI SELATAN,SIDENRENG RAPPANG,7314,16973,5364
SULAWESI SELATAN,SINJAI,7307,19267,5167
SULAWESI SELATAN,SOPPENG,7312,14279,4597
SULAWESI SELATAN,TAKALAR,7305,29999,8421
SULAWESI SELATAN,TANA TORAJA,7318,31142,5660
SULAWESI SELATAN,TORAJA UTARA,7326,33830,5791
SULAWESI SELATAN,WAJO,7313,18634,9301
SULAWESI TENGAH,BANGGAI,7202,29541,6993
SULAWESI TENGAH,BANGGAI KEPULAUAN,7201,11407,3176
SULAWESI TENGAH,BANGGAI LAUT,7211,4116,1047
SULAWESI TENGAH,BUOL,7207,17554,4147
SULAWESI TENGAH,DONGGALA,7205,35742,10379
SULAWESI TENGAH,KOTA PALU,7271,14556,3189
SULAWESI TENGAH,MOROWALI,7203,9114,2143
SULAWESI TENGAH,MOROWALI UTARA,7212,9059,2488
SULAWESI TENGAH,PARIGI MOUTONG,7208,43307,16367
SULAWESI TENGAH,POSO,7204,22938,4115
SULAWESI TENGAH,SIGI,7210,21155,7063
SULAWESI TENGAH,TOJO UNA-UNA,7209,16333,4898
SULAWESI TENGAH,TOLI-TOLI,7206,19500,6916
SULAWESI TENGGARA,BOMBANA,7406,16295,4721
SULAWESI TENGGARA,BUTON,7401,13893,3103
SULAWESI TENGGARA,BUTON SELATAN,7415,14576,2525
SULAWESI TENGGARA,BUTON TENGAH,7414,15392,3239
