Provinsi,NamaKab/Kota,Listrik PLN,Listrik non-PLN,Tidak ada listrik
SULAWESI TENGAH,TOTAL,23545,51386,0
SULAWESI TENGGARA,BOMBANA,10048,2876,3640
SULAWESI TENGGARA,BUTON,7230,927,2309
SULAWESI TENGGARA,BUTON SELATAN,5953,1036,2589
SULAWESI TENGGARA,BUTON TENGAH,10606,849,1509
SULAWESI TENGGARA,BUTON UTARA,2642,848,3376
SULAWESI TENGGARA,KOLAKA,9394,1217,2487
SULAWESI TENGGARA,KOLAKA TIMUR,4827,1336,3670
SULAWESI TENGGARA,KOLAKA UTARA,10951,2247,3448
SULAWESI TENGGARA,KONAWE,16401,1416,3050
SULAWESI TENGGARA,KONAWE KEPULAUAN,2860,1022,1518
SULAWESI TENGGARA,KONAWE SELATAN,19298,981,2999
SULAWESI TENGGARA,KONAWE UTARA,3184,1105,1065
SULAWESI TENGGARA,KOTA BAUBAU,12206,62,326
SULAWESI TENGGARA,KOTA KENDARI,17117,22,350
SULAWESI TENGGARA,MUNA,19744,1402,4301
SULAWESI TENGGARA,MUNA BARAT,8095,1272,2238
SULAWESI TENGGARA,TOTAL,19637,39820,0
SULAWESI TENGGARA,WAKATOBI,5049,1019,945
SULAWESI UTARA,BOLAANG MONGONDOW,25182,216,394
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,4829,71,234
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,4747,118,167
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,6648,224,222
SULAWESI UTARA,KEPULAUAN SANGIHE,7465,571,1623
SULAWESI UTARA,KEPULAUAN TALAUD,6781,165,262
SULAWESI UTARA,KOTA BITUNG,11712,1018,355
SULAWESI UTARA,KOTA MANADO,18752,342,217
SULAWESI UTARA,KOTA TOMOHON,7631,5,38
SULAWESI UTARA,KOTAMOBAGU,7581,95,31
SULAWESI UTARA,MINAHASA,19899,269,367
SULAWESI UTARA,MINAHASA SELATAN,24605,102,335
SULAWESI UTARA,MINAHASA TENGGARA,9282,59,161
SULAWESI UTARA,MINAHASA UTARA,15565,295,546
SULAWESI UTARA,SIAU TAGULANDANG BIARO,2433,286,127
SULAWESI UTARA,TOTAL,3836,5079,0
SUMATERA BARAT,AGAM,18811,659,1978
SUMATERA BARAT,DHARMASRAYA,6506,180,359
SUMATERA BARAT,KEPULAUAN MENTAWAI,783,1252,6013
SUMATERA BARAT,KOTA BUKITTINGGI,3834,5,42
SUMATERA BARAT,KOTA PADANG,42352,169,584
SUMATERA BARAT,KOTA PADANG PANJANG,2048,0,45
SUMATERA BARAT,KOTA PARIAMAN,4416,2,96
SUMATERA BARAT,KOTA PAYAKUMBUH,6261,25,146
SUMATERA BARAT,KOTA SAWAH LUNTO,1370,13,201
SUMATERA BARAT,KOTA SOLOK,2382,1,71
SUMATERA BARAT,LIMA PULUH KOTA,28906,448,2795
SUMATERA BARAT,PADANG PARIAMAN,25277,431,2785
